ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.727592,0.73854,0.015046,0.01,0.01,402,0.0001,0.2,500,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.726638,0.738969,0.016969,0.01,0.01,402,0.0001,0.2,520,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.726002,0.739579,0.0187,0.01,0.01,402,0.0001,0.2,540,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.72813,0.739401,0.015478,0.01,0.01,402,0.0001,0.2,560,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.730798,0.742197,0.015599,0.01,0.01,402,0.0001,0.2,580,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.73396,0.742684,0.011887,0.01,0.01,402,0.0001,0.2,600,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.73316,0.744403,0.015335,0.01,0.01,402,0.0001,0.2,620,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.736777,0.744482,0.010458,0.01,0.01,402,0.0001,0.2,640,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.733062,0.742764,0.013235,0.01,0.01,402,0.0001,0.2,660,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.740627,0.743421,0.003772,0.01,0.01,402,0.0001,0.2,680,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.736717,0.744256,0.010234,0.01,0.01,402,0.0001,0.2,700,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.733905,0.743068,0.012485,0.01,0.01,402,0.0001,0.2,720,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.736058,0.749,0.017583,0.01,0.01,402,0.0001,0.2,740,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
